notification_id,app_source,sender_type,content_type,time_slot,hour,user_context,notification_text,base_importance,eff_importance,true_optimal_action
27,academic,system,grade_update,lunch,13,studying,Your GPA has been updated for this term,4.3,3.55,BATCH
28,instagram,unknown,promo_offer,lunch,12,relaxing,New followers waiting! Boost your profile now,1.5,1.5,MUTE
29,whatsapp,known_friend,media_share,evening,20,relaxing,Sent you a reel you'll find hilarious,2.8,2.8,NOW
30,news_promo,promotional,discount_offer,class_pm,15,studying,Your wishlist items are on sale now,1.8,1.05,MUTE
31,email,academic_inst,deadline_reminder,evening,20,studying,Reminder: Assignment 2 submission closes tomorrow at 11:59 PM,4.8,4.05,NOW
32,whatsapp,group_academic,meeting_reminder,evening,19,with_family,"Study group at 6 PM in the library, confirm attendance",3.9,3.5,NOW
33,news_promo,promotional,newsletter,afternoon,17,relaxing,Top stories you missed this week,1.6,1.6,MUTE
34,whatsapp,group_academic,assignment_update,morning,6,waking_up,Team: don't forget the submission is due Friday 11:59 PM,4.2,4.0,NOW
35,whatsapp,group_social,event_invite,night,4,sleeping,"Freshers' night this Friday, we're all going right?",3.0,1.2,MUTE
36,unknown,spam,spam,lunch,12,with_friends,"You've won a Rs.10,000 gift card — claim here",1.1,0.8,MUTE
37,instagram,known_friend,social_invite,late_night,22,relaxing,Notification from instagram,2.5,2.5,MUTE
38,email,unknown_sender,registration,afternoon,16,studying,Important update about your course registration status,3.5,2.75,BATCH
39,whatsapp,known_friend,personal_chat,evening,19,with_family,Missing you! When are we hanging out?,4.0,3.6,NOW
40,email,academic_inst,deadline_reminder,class_pm,15,relaxing,Your internship application deadline is this Friday,4.8,4.8,NOW
41,whatsapp,group_academic,assignment_update,afternoon,17,with_friends,Team: don't forget the submission is due Friday 11:59 PM,4.2,3.9,NOW
42,academic,system,deadline,morning,8,waking_up,Your submission window closes in 12 hours,4.7,4.5,NOW
43,academic,professor,announcement,class_am,9,in_class,Office hours moved to Friday 2-4 PM this week,4.2,3.1,BATCH
44,instagram,rare_contact,social_chat,class_am,10,in_class,Commented on your post,2.65,1.55,BATCH
45,whatsapp,known_friend,personal_chat,morning,6,waking_up,Are you coming to the thing later?,4.0,3.8,NOW
46,instagram,rare_contact,social_chat,late_night,23,relaxing,Commented on your post,2.65,2.65,NOW
47,email,academic_inst,registration,evening,20,relaxing,Important: Complete your hostel registration by Friday,3.8,3.8,NOW
48,email,academic_inst,grade_update,class_am,10,in_class,Mid-term results are now available on the student portal,4.4,3.3,NOW
49,whatsapp,known_friend,personal_chat,class_am,10,in_class,Bro did you see what happened?,4.0,2.9,NOW
50,whatsapp,unknown,spam,lunch,13,relaxing,Urgent: your account will be suspended. Verify now: bit.ly/xxx,1.2,1.2,MUTE
51,email,academic_inst,deadline_reminder,evening,18,with_friends,URGENT: Your course project is due in 24 hours,4.8,4.5,NOW
52,email,promotional,newsletter,afternoon,15,relaxing,Top tech news this week — your morning briefing,1.8,1.8,BATCH
53,instagram,unknown,spam,class_am,9,in_class,You've been selected for a collaboration! DM for details,1.2,0.5,MUTE
54,instagram,known_friend,social_invite,class_pm,15,in_class,Notification from instagram,2.5,1.4,MUTE
55,whatsapp,group_academic,meeting_reminder,late_night,21,sleeping,"Study group at 6 PM in the library, confirm attendance",3.9,2.1,BATCH
56,whatsapp,known_friend,social_invite,late_night,21,studying,"Group dinner plan for Saturday, save the date",3.5,2.75,BATCH
57,email,unknown_sender,phishing,lunch,12,relaxing,Claim your scholarship: Limited seats available,1.3,1.3,MUTE
58,academic,professor,grade,afternoon,15,studying,Your mid-term exam score has been posted,4.6,3.85,NOW
59,whatsapp,unknown,promo_offer,class_pm,15,studying,Flash sale! Electronics up to 70% off. Expires midnight,1.8,1.05,MUTE
60,instagram,rare_contact,social_chat,class_am,9,in_class,Replied to your story,2.65,1.55,MUTE
61,news_promo,promotional,app_update,morning,8,relaxing,New features unlocked in your app,1.4,1.4,MUTE
62,instagram,known_friend,personal_chat,evening,18,with_family,Mentioned you in their story,3.2,2.8,BATCH
63,whatsapp,group_social,event_invite,class_am,9,in_class,Cultural fest signup is open! Who wants to perform?,3.0,1.9,MUTE
64,email,unknown_sender,newsletter,lunch,12,studying,Your data is important — read our new privacy policy,1.5,0.75,MUTE
65,whatsapp,group_social,social_chat,class_pm,15,in_class,Random question: does anyone know a good barber nearby?,2.8,1.7,BATCH
66,instagram,known_friend,personal_chat,afternoon,15,with_friends,Replied to your story,3.2,2.9,NOW
67,whatsapp,known_friend,personal_chat,class_am,9,in_class,Can you call me when you get a chance?,4.0,2.9,NOW
68,unknown,spam,spam,morning,6,waking_up,URGENT: Your SIM card will be blocked in 24 hours,1.1,0.9,MUTE
69,whatsapp,known_friend,personal_chat,lunch,12,relaxing,Can you call me when you get a chance?,4.0,4.0,NOW
70,email,unknown_sender,registration,lunch,13,with_friends,Urgent: Your academic record needs attention,3.5,3.2,BATCH
71,whatsapp,known_friend,social_invite,class_pm,15,in_class,"Group dinner plan for Saturday, save the date",3.5,2.4,BATCH
72,instagram,known_friend,personal_chat,morning,6,waking_up,Mentioned you in their story,3.2,3.0,NOW
73,whatsapp,unknown,spam,night,4,sleeping,You have won a gift voucher worth Rs.5000. Claim here,1.2,0.5,MUTE
74,instagram,unknown,spam,morning,8,studying,"Free followers! 10,000 real followers in 24hrs",1.2,0.5,MUTE
75,unknown,spam,spam,class_pm,16,studying,"You've won a Rs.10,000 gift card — claim here",1.1,0.5,MUTE
76,academic,professor,announcement,lunch,13,with_friends,Office hours moved to Friday 2-4 PM this week,4.2,3.9,NOW
77,email,unknown_sender,phishing,evening,19,studying,Security alert: Unusual login detected on your account,1.3,0.55,MUTE
78,whatsapp,known_friend,personal_chat,night,4,sleeping,Hey are you free tonight?,4.0,2.2,BATCH
79,whatsapp,known_friend,personal_chat,afternoon,16,with_friends,Did you finish the readings for tomorrow?,4.0,3.7,NOW
80,instagram,unknown,spam,afternoon,16,with_friends,Earn money from home! 500+ students already enrolled,1.2,0.9,MUTE
81,instagram,unknown,spam,late_night,23,relaxing,Earn money from home! 500+ students already enrolled,1.2,1.2,BATCH
82,whatsapp,known_friend,personal_chat,class_pm,16,in_class,Bro did you see what happened?,4.0,2.9,BATCH
83,instagram,unknown,promo_offer,afternoon,15,with_friends,New followers waiting! Boost your profile now,1.5,1.2,BATCH
84,whatsapp,unknown,promo_offer,lunch,13,with_friends,Flash sale! Electronics up to 70% off. Expires midnight,1.8,1.5,MUTE
85,whatsapp,group_academic,assignment_update,afternoon,17,studying,"I've updated the shared doc, please review before tomorrow",4.2,3.45,NOW
86,whatsapp,known_friend,social_invite,class_am,9,studying,"Group dinner plan for Saturday, save the date",3.5,2.75,NOW
87,whatsapp,known_friend,personal_chat,class_am,10,in_class,Dude you need to see this,4.0,2.9,BATCH
88,whatsapp,known_friend,personal_chat,lunch,13,with_friends,Missing you! When are we hanging out?,4.0,3.7,NOW
89,whatsapp,known_friend,social_invite,afternoon,17,with_friends,"Party at Priya's tonight, you in?",3.5,3.2,BATCH
90,whatsapp,known_friend,social_invite,evening,18,with_friends,"Movie night at 8, everyone's coming",3.5,3.2,NOW
91,whatsapp,group_social,social_chat,evening,19,with_family,Anyone up for badminton after 5?,2.8,2.4,BATCH
92,whatsapp,group_academic,group_chat,afternoon,17,studying,Is the exam open book or not? Prof didn't confirm,3.2,2.45,BATCH
93,instagram,known_friend,social_invite,class_am,11,in_class,Notification from instagram,2.5,1.4,MUTE
94,whatsapp,known_friend,personal_chat,late_night,21,studying,Dude you need to see this,4.0,3.25,NOW
95,whatsapp,group_academic,meeting_reminder,evening,18,relaxing,Quick standup before the lecture?,3.9,3.9,NOW
96,instagram,known_friend,media_share,evening,20,relaxing,Sent you a meme,2.5,2.5,BATCH
97,whatsapp,known_friend,personal_chat,lunch,13,studying,Just wanted to check in on you,4.0,3.25,NOW
98,whatsapp,group_social,social_chat,late_night,23,studying,Anyone up for badminton after 5?,2.8,2.05,BATCH
99,whatsapp,known_friend,media_share,late_night,22,sleeping,"This song is stuck in my head, sharing",2.8,1.0,MUTE
100,instagram,rare_contact,media_share,evening,20,relaxing,Sent you a reel,2.3,2.3,BATCH
101,whatsapp,known_friend,personal_chat,afternoon,15,relaxing,Hey are you free tonight?,4.0,4.0,NOW
102,email,promotional,discount_offer,afternoon,17,relaxing,🎉 Exclusive student offer: 40% off Spotify Premium,2.0,2.0,MUTE
103,whatsapp,known_friend,personal_chat,night,4,sleeping,Can you call me when you get a chance?,4.0,2.2,BATCH
104,whatsapp,known_friend,personal_chat,class_am,11,in_class,Can you call me when you get a chance?,4.0,2.9,BATCH
105,news_promo,promotional,app_update,class_am,11,relaxing,Performance improvements in your latest update,1.4,1.4,MUTE
106,whatsapp,known_friend,social_invite,afternoon,15,studying,"Group dinner plan for Saturday, save the date",3.5,2.75,BATCH
107,whatsapp,known_friend,social_invite,evening,19,with_friends,Come join us at the library,3.5,3.2,NOW
108,whatsapp,group_academic,meeting_reminder,afternoon,16,with_friends,"Study group at 6 PM in the library, confirm attendance",3.9,3.6,NOW
109,instagram,rare_contact,social_chat,class_pm,15,in_class,Liked your photo,2.65,1.55,BATCH
110,news_promo,promotional,discount_offer,late_night,23,studying,Limited time: Buy 1 Get 1 Free on all beverages,1.8,1.05,MUTE
111,news_promo,promotional,newsletter,afternoon,15,studying,Your personalized news digest for today,1.6,0.85,MUTE
112,whatsapp,known_friend,social_invite,morning,7,studying,"Group dinner plan for Saturday, save the date",3.5,2.75,NOW
113,whatsapp,group_academic,assignment_update,afternoon,17,with_friends,Who's doing which section of the report?,4.2,3.9,NOW
114,whatsapp,known_friend,social_invite,evening,20,relaxing,"Movie night at 8, everyone's coming",3.5,3.5,NOW
115,email,promotional,app_update,class_pm,15,in_class,App update available: version 4.2 is here,1.6,0.5,MUTE
116,instagram,unknown,promo_offer,evening,19,with_family,New followers waiting! Boost your profile now,1.5,1.1,MUTE
117,email,academic_inst,registration,evening,18,studying,Action required: Submit your elective preferences by EOD,3.8,3.05,BATCH
118,whatsapp,group_academic,meeting_reminder,class_pm,14,in_class,"Study group at 6 PM in the library, confirm attendance",3.9,2.8,BATCH
119,whatsapp,known_friend,social_invite,class_pm,15,in_class,Come join us at the library,3.5,2.4,BATCH
120,email,known_contact,professional,class_pm,14,in_class,Feedback on your draft — see attached,3.6,2.5,BATCH
121,instagram,unknown,promo_offer,class_pm,15,relaxing,Exclusive deal just for you — 30% off premium,1.5,1.5,MUTE
122,email,academic_inst,registration,lunch,12,relaxing,Important: Complete your hostel registration by Friday,3.8,3.8,NOW
123,instagram,rare_contact,media_share,morning,6,studying,Sent you a reel,2.3,1.55,MUTE
124,unknown,spam,spam,late_night,23,sleeping,Free data offer! Click the link to activate,1.1,0.5,MUTE
125,whatsapp,group_academic,assignment_update,late_night,22,relaxing,Assignment 3 instructions just dropped on the portal,4.2,4.2,NOW
126,whatsapp,known_friend,personal_chat,morning,7,studying,Can you call me when you get a chance?,4.0,3.25,NOW
127,instagram,rare_contact,media_share,class_am,9,in_class,Shared something with you,2.3,1.2,BATCH
128,academic,professor,grade,afternoon,15,studying,Grades for Assignment 2 have been released,4.6,3.85,NOW
129,email,academic_inst,deadline_reminder,lunch,12,relaxing,Mid-semester exam schedule released — please check your slot,4.8,4.8,NOW
130,email,known_contact,professional,late_night,23,studying,Quick question about the project timeline,3.6,2.85,NOW
131,unknown,spam,spam,class_pm,16,relaxing,"Earn Rs.5,000 daily from home — no experience needed",1.1,1.1,MUTE
132,whatsapp,known_friend,personal_chat,morning,6,relaxing,Bro did you see what happened?,4.0,4.0,NOW
133,news_promo,promotional,discount_offer,late_night,23,studying,Your wishlist items are on sale now,1.8,1.05,MUTE
134,whatsapp,group_academic,assignment_update,afternoon,16,with_friends,Reminder: group presentation is next Monday,4.2,3.9,NOW
135,instagram,unknown,promo_offer,class_am,10,in_class,Exclusive deal just for you — 30% off premium,1.5,0.5,MUTE
136,whatsapp,group_academic,meeting_reminder,lunch,13,relaxing,"Meeting moved to 5:30, library room 204",3.9,3.9,NOW
137,news_promo,promotional,newsletter,late_night,21,sleeping,Your Inshorts morning briefing is ready,1.6,0.5,MUTE
138,instagram,known_friend,personal_chat,afternoon,17,studying,Mentioned you in their story,3.2,2.45,BATCH
139,whatsapp,group_academic,assignment_update,evening,18,with_family,"I've updated the shared doc, please review before tomorrow",4.2,3.8,NOW
140,news_promo,promotional,discount_offer,afternoon,16,studying,Student discount activated: 25% off your next purchase,1.8,1.05,MUTE
141,email,academic_inst,grade_update,lunch,13,studying,Your Quiz 3 grades have been released on the portal,4.4,3.65,NOW
142,email,promotional,app_update,class_pm,15,in_class,App update available: version 4.2 is here,1.6,0.5,MUTE
143,instagram,known_friend,social_invite,late_night,23,studying,Notification from instagram,2.5,1.75,MUTE
144,whatsapp,group_social,social_chat,morning,6,studying,Long weekend plans??,2.8,2.05,BATCH
145,instagram,known_friend,personal_chat,morning,8,waking_up,Replied to your story,3.2,3.0,NOW
146,email,known_contact,professional,late_night,21,sleeping,Re: Research internship — follow-up needed,3.6,1.8,BATCH
147,whatsapp,unknown,spam,evening,18,studying,FREE iPhone giveaway! Limited slots. Register immediately,1.2,0.5,MUTE
148,email,promotional,discount_offer,afternoon,17,relaxing,Your Amazon Prime renewal — special rate for students,2.0,2.0,BATCH
149,whatsapp,group_academic,group_chat,afternoon,16,with_friends,Is the exam open book or not? Prof didn't confirm,3.2,2.9,BATCH
150,whatsapp,group_academic,assignment_update,late_night,22,relaxing,Team: don't forget the submission is due Friday 11:59 PM,4.2,4.2,NOW
151,whatsapp,known_friend,personal_chat,evening,19,relaxing,Just wanted to check in on you,4.0,4.0,NOW
152,whatsapp,known_friend,personal_chat,evening,19,studying,Bro did you see what happened?,4.0,3.25,NOW
153,instagram,unknown,promo_offer,evening,18,relaxing,New followers waiting! Boost your profile now,1.5,1.5,MUTE
154,whatsapp,known_friend,media_share,morning,8,waking_up,"This song is stuck in my head, sharing",2.8,2.6,BATCH
155,whatsapp,known_friend,personal_chat,class_am,10,in_class,Bro did you see what happened?,4.0,2.9,BATCH
156,email,unknown_sender,newsletter,evening,18,relaxing,Your data is important — read our new privacy policy,1.5,1.5,BATCH
157,whatsapp,known_friend,personal_chat,late_night,22,relaxing,Can you call me when you get a chance?,4.0,4.0,NOW
158,whatsapp,known_friend,media_share,class_pm,14,in_class,Sent you a reel you'll find hilarious,2.8,1.7,MUTE
159,email,unknown_sender,newsletter,evening,19,relaxing,Your data is important — read our new privacy policy,1.5,1.5,MUTE
160,whatsapp,unknown,promo_offer,night,5,sleeping,Congratulations! You've been selected for a prize. Click to claim,1.8,0.5,MUTE
161,whatsapp,known_friend,personal_chat,evening,19,studying,Can you call me when you get a chance?,4.0,3.25,NOW
162,email,academic_inst,grade_update,evening,18,with_family,Assignment 1 feedback has been posted,4.4,4.0,NOW
163,email,academic_inst,announcement,lunch,13,relaxing,Library hours extended during exam week,4.0,4.0,NOW
164,whatsapp,group_social,media_share,afternoon,17,studying,Notification from whatsapp,2.5,1.75,MUTE
165,academic,professor,assignment,late_night,23,relaxing,Problem Set 5 is now available on the course page,4.8,4.8,NOW
166,instagram,known_friend,personal_chat,evening,19,relaxing,Haha I saw your post 😂,3.2,3.2,NOW
167,email,promotional,newsletter,late_night,21,sleeping,Substack: 3 new posts from writers you follow,1.8,0.5,MUTE
168,academic,system,system_alert,late_night,21,relaxing,Your profile is incomplete — update before registration,3.5,3.5,NOW
169,whatsapp,group_social,media_share,afternoon,17,with_friends,Notification from whatsapp,2.5,2.2,BATCH
170,whatsapp,known_friend,social_invite,class_am,10,studying,"Movie night at 8, everyone's coming",3.5,2.75,BATCH
171,whatsapp,group_academic,group_chat,evening,20,relaxing,Who has the textbook PDF? Please share,3.2,3.2,NOW
172,whatsapp,group_social,social_chat,lunch,12,relaxing,Random question: does anyone know a good barber nearby?,2.8,2.8,BATCH
173,email,unknown_sender,registration,late_night,22,sleeping,Urgent: Your academic record needs attention,3.5,1.7,MUTE
174,whatsapp,group_social,event_invite,afternoon,16,relaxing,"Hostel cricket tournament, team registration due today",3.0,3.0,BATCH
175,academic,professor,assignment,class_pm,16,studying,Your assignment submission was received successfully,4.8,4.05,NOW
176,whatsapp,known_friend,personal_chat,afternoon,15,studying,Bro did you see what happened?,4.0,3.25,NOW
177,academic,professor,grade,evening,19,with_family,Grades for Assignment 2 have been released,4.6,4.2,NOW
178,academic,system,deadline,evening,20,relaxing,Reminder: 3 days left to submit Assignment 4,4.7,4.7,NOW
179,whatsapp,unknown,promo_offer,late_night,23,studying,OFFER: Get 50% off your next Zomato order! Code: SAVE50,1.8,1.05,MUTE
180,whatsapp,group_social,event_invite,afternoon,17,with_friends,"Freshers' night this Friday, we're all going right?",3.0,2.7,BATCH
181,academic,system,system_alert,evening,20,studying,The portal will be down for maintenance Sunday 2-4 AM,3.5,2.75,BATCH
182,whatsapp,unknown,spam,class_am,11,in_class,You have won a gift voucher worth Rs.5000. Claim here,1.2,0.5,MUTE
183,whatsapp,known_friend,personal_chat,evening,18,relaxing,Just wanted to check in on you,4.0,4.0,NOW
184,instagram,unknown,promo_offer,afternoon,16,studying,New followers waiting! Boost your profile now,1.5,0.75,MUTE
185,whatsapp,group_academic,group_chat,evening,20,relaxing,Anyone understand question 4 from the problem set?,3.2,3.2,BATCH
186,whatsapp,known_friend,media_share,class_am,10,in_class,This meme is literally you 😭,2.8,1.7,BATCH
187,whatsapp,known_friend,personal_chat,class_am,9,in_class,Just wanted to check in on you,4.0,2.9,NOW
188,academic,professor,assignment,night,1,sleeping,Assignment 3 has been posted. Due: Sunday 11:59 PM,4.8,3.0,BATCH
189,whatsapp,known_friend,social_invite,evening,19,relaxing,"We're heading to the canteen, join us?",3.5,3.5,NOW
190,email,promotional,discount_offer,late_night,22,studying,Your Amazon Prime renewal — special rate for students,2.0,1.25,MUTE
191,instagram,rare_contact,media_share,evening,19,relaxing,Sent you a reel,2.3,2.3,BATCH
192,email,known_contact,personal_chat,class_am,10,in_class,Catch up soon?,3.2,2.1,BATCH
193,email,known_contact,professional,evening,18,studying,Meeting request: Can we sync this week?,3.6,2.85,NOW
194,email,known_contact,professional,evening,19,relaxing,Feedback on your draft — see attached,3.6,3.6,NOW
195,whatsapp,known_friend,personal_chat,class_pm,16,in_class,Missing you! When are we hanging out?,4.0,2.9,NOW
196,instagram,unknown,spam,evening,18,relaxing,You've been selected for a collaboration! DM for details,1.2,1.2,MUTE
197,email,known_contact,personal_chat,late_night,22,studying,Catch up soon?,3.2,2.45,NOW
198,unknown,spam,spam,class_pm,15,studying,"Earn Rs.5,000 daily from home — no experience needed",1.1,0.5,MUTE
199,email,unknown_sender,registration,lunch,13,relaxing,Urgent: Your academic record needs attention,3.5,3.5,NOW
200,instagram,known_friend,personal_chat,class_am,9,in_class,Sent you a message,3.2,2.1,MUTE
201,email,academic_inst,grade_update,night,1,relaxing,Your GPA for this semester has been calculated,4.4,4.4,NOW
202,whatsapp,group_academic,meeting_reminder,class_pm,16,in_class,Quick standup before the lecture?,3.9,2.8,BATCH
203,whatsapp,group_social,social_chat,lunch,12,studying,Anyone up for badminton after 5?,2.8,2.05,MUTE
204,whatsapp,known_friend,personal_chat,evening,20,studying,Bro did you see what happened?,4.0,3.25,NOW
205,academic,system,system_alert,lunch,12,with_friends,The portal will be down for maintenance Sunday 2-4 AM,3.5,3.2,NOW
206,unknown,spam,spam,morning,6,waking_up,Investment plan with 50% annual returns — limited offer,1.1,0.9,MUTE
207,whatsapp,group_academic,assignment_update,class_am,9,in_class,Can someone take notes today? I'll be late to class,4.2,3.1,BATCH
208,email,academic_inst,deadline_reminder,night,2,sleeping,Final submission deadline: 3 days remaining,4.8,3.0,BATCH
209,whatsapp,known_friend,social_invite,lunch,12,with_friends,"Group dinner plan for Saturday, save the date",3.5,3.2,NOW
210,whatsapp,group_academic,assignment_update,lunch,12,with_friends,Assignment 3 instructions just dropped on the portal,4.2,3.9,NOW
211,news_promo,promotional,discount_offer,evening,20,relaxing,Today's deals: iPhone 15 at lowest price ever,1.8,1.8,BATCH
212,whatsapp,unknown,spam,evening,20,with_friends,Urgent: your account will be suspended. Verify now: bit.ly/xxx,1.2,0.9,MUTE
213,email,known_contact,professional,evening,20,with_friends,Re: Research internship — follow-up needed,3.6,3.3,NOW
214,instagram,unknown,spam,afternoon,15,studying,Earn money from home! 500+ students already enrolled,1.2,0.5,MUTE
215,news_promo,promotional,app_update,late_night,23,relaxing,Performance improvements in your latest update,1.4,1.4,MUTE
216,academic,professor,announcement,morning,8,studying,Guest lecture next Tuesday — attendance is mandatory,4.2,3.45,NOW
217,instagram,rare_contact,media_share,afternoon,17,studying,Sent you a reel,2.3,1.55,BATCH
218,whatsapp,group_academic,meeting_reminder,evening,19,relaxing,"Meeting moved to 5:30, library room 204",3.9,3.9,NOW
219,academic,system,system_alert,class_am,9,in_class,The portal will be down for maintenance Sunday 2-4 AM,3.5,2.4,BATCH
220,email,known_contact,personal_chat,evening,19,studying,"Hey, just checking how you're settling in!",3.2,2.45,BATCH
221,academic,professor,grade,morning,8,waking_up,Quiz 4 results are now visible on your dashboard,4.6,4.4,NOW
222,news_promo,promotional,app_update,class_pm,15,in_class,New features unlocked in your app,1.4,0.5,MUTE
223,email,unknown_sender,phishing,evening,19,relaxing,Security alert: Unusual login detected on your account,1.3,1.3,BATCH
224,email,academic_inst,grade_update,class_am,11,in_class,Your GPA for this semester has been calculated,4.4,3.3,NOW
225,whatsapp,known_friend,social_invite,class_am,10,studying,"Party at Priya's tonight, you in?",3.5,2.75,BATCH
226,instagram,known_friend,social_invite,night,5,relaxing,Notification from instagram,2.5,2.5,BATCH
227,whatsapp,group_academic,assignment_update,late_night,21,relaxing,Assignment 3 instructions just dropped on the portal,4.2,4.2,NOW
228,academic,professor,grade,class_pm,15,studying,Grades for Assignment 2 have been released,4.6,3.85,NOW
229,instagram,known_friend,personal_chat,late_night,21,relaxing,Replied to your story,3.2,3.2,NOW
230,whatsapp,known_friend,social_invite,evening,20,with_family,"Group dinner plan for Saturday, save the date",3.5,3.1,NOW
231,instagram,unknown,promo_offer,evening,20,relaxing,Exclusive deal just for you — 30% off premium,1.5,1.5,MUTE
232,instagram,rare_contact,social_chat,class_pm,15,in_class,Sent you a message,2.65,1.55,MUTE
233,whatsapp,known_friend,personal_chat,late_night,23,relaxing,Hey are you free tonight?,4.0,4.0,NOW
234,instagram,known_friend,social_invite,afternoon,16,relaxing,Notification from instagram,2.5,2.5,BATCH
235,whatsapp,group_academic,meeting_reminder,lunch,13,with_friends,"Study group at 6 PM in the library, confirm attendance",3.9,3.6,NOW
236,email,unknown_sender,phishing,afternoon,16,studying,Security alert: Unusual login detected on your account,1.3,0.55,MUTE
237,whatsapp,unknown,spam,evening,20,relaxing,You have won a gift voucher worth Rs.5000. Claim here,1.2,1.2,MUTE
238,whatsapp,known_friend,social_invite,class_pm,16,relaxing,"Group dinner plan for Saturday, save the date",3.5,3.5,NOW
239,whatsapp,unknown,spam,afternoon,15,relaxing,Investment opportunity: 40% monthly returns guaranteed,1.2,1.2,MUTE
240,whatsapp,known_friend,social_invite,late_night,21,sleeping,"Group dinner plan for Saturday, save the date",3.5,1.7,BATCH
241,whatsapp,known_friend,personal_chat,class_pm,14,in_class,Just wanted to check in on you,4.0,2.9,NOW
242,whatsapp,group_academic,group_chat,lunch,13,relaxing,Who has the textbook PDF? Please share,3.2,3.2,NOW
243,instagram,unknown,spam,lunch,12,with_friends,You've been selected for a collaboration! DM for details,1.2,0.9,MUTE
244,instagram,rare_contact,media_share,afternoon,16,with_friends,Sent you a reel,2.3,2.0,MUTE
245,whatsapp,known_friend,personal_chat,evening,19,with_friends,Dude you need to see this,4.0,3.7,NOW
246,email,unknown_sender,phishing,afternoon,15,with_friends,Your university account will be suspended — verify now,1.3,1.0,BATCH
247,academic,professor,announcement,class_pm,14,studying,Correction to textbook problem 3.4 — see the errata,4.2,3.45,NOW
248,whatsapp,known_friend,personal_chat,lunch,12,relaxing,Are you coming to the thing later?,4.0,4.0,NOW
249,whatsapp,group_academic,assignment_update,class_am,10,in_class,Assignment 3 instructions just dropped on the portal,4.2,3.1,NOW
250,whatsapp,group_academic,assignment_update,class_pm,14,studying,Can someone take notes today? I'll be late to class,4.2,3.45,NOW
251,unknown,spam,spam,night,2,sleeping,Investment plan with 50% annual returns — limited offer,1.1,0.5,MUTE
252,whatsapp,group_social,social_chat,class_am,9,in_class,Long weekend plans??,2.8,1.7,MUTE
253,email,known_contact,professional,class_am,11,in_class,Meeting request: Can we sync this week?,3.6,2.5,BATCH
254,whatsapp,known_friend,personal_chat,late_night,21,relaxing,Just wanted to check in on you,4.0,4.0,NOW
255,academic,system,grade_update,class_am,9,in_class,Your GPA has been updated for this term,4.3,3.2,BATCH
